NOCODE_Yagara	152.4602773	-27.87647555	Australia	2013
prd	58.624	32.994	Eurasia	
NOCODE_Aruan	-50.123291	-0.608631	South America	2013
anf	0.41962	7.60385	Africa	
ang			Eurasia	2013
gxx	-7.63427	6.50013	Africa	
frc	-91.61325	29.68686	North America	
fra	2.0	48.0	Eurasia	
anb	-76.60558	-3.29664	South America	2013
frd	131.51054	-7.28902	Papua	
frk	9.98388	52.89596	Eurasia	2013
anc	9.46146	9.32042	Africa	
fro			Eurasia	2013
frs	7.73549	52.97134	Eurasia	
frr	8.58489	54.64087	Eurasia	
frq	146.54121	-5.69079	Papua	
frp	6.48152	45.80513	Eurasia	
frt	166.93136	-15.44841	Papua	
NOCODE_Jumano			North America	
fry	5.86091	53.143	Eurasia	
pro			Eurasia	2013
rge	23.21639	38.63471	Eurasia	
ano	-72.08686	-0.53751	South America	
anh	144.88584	-5.04271	Papua	
ani	46.29187	42.80785	Eurasia	
prk	99.375035	22.865825	Eurasia	
cum	-69.49999	2.83332	South America	2013
ant	134.83783	-27.11522	Australia	
rgk	80.08455	29.22776	Eurasia	2013
prt	101.217815	19.038265	Eurasia	
prw	145.4177	-5.0112	Papua	
sjr	152.89174	-4.62059	Papua	
rgn	11.71892	44.234895	Eurasia	
prq	-74.91528	-10.97772	South America	
sjp	85.792	25.686	Eurasia	
prp	74.438	20.625	Eurasia	
tzs			North America	
tzu			North America	
prs	67.359255	31.040545	Eurasia	
tzx	143.59259	-4.49162	Papua	
prr	-43.60688	-20.73288	South America	2013
sjw	-96.76345	35.35397	North America	
tza	39.12697	-6.82431	Africa	
tzc			North America	
tzb			North America	
tze			North America	
sjt	38.50607	67.24584	Eurasia	
tzi	102.660664	31.590536	Eurasia	
tzh	-92.27861	16.63841	North America	
tzj	-91.20122	14.63507	North America	
tzm	-2.40872	32.741545	Africa	
tzl			North America	
tzo	-92.73881	16.63623	North America	
tzn	126.7001	-7.72555	Papua	
dho	73.27433	21.06564	Eurasia	
dhn	73.74179	20.77195	Eurasia	
dhm	13.44244	-17.295835	Africa	
dhl	114.93718	-22.19598	Australia	
dhi	88.379815	26.62827	Eurasia	
drh	99.44493	50.62298	Eurasia	
dhg	135.75214	-11.94927	Australia	
anx	147.08493	-2.05894	Papua	
dhd	76.198	26.473	Eurasia	
dha	83.16442	23.06127	Eurasia	
any	-3.305315	6.31781	Africa	
dhx				2013
dhw	85.0074	27.54803	Eurasia	
dhv	167.22924	-20.88918	Papua	
dhu	150.13383	-35.41204	Australia	2013
dhs	38.81801	-4.81209	Africa	
dhr	114.84667	-24.06008	Australia	
sjo	81.00336	43.58535	Eurasia	
sjl	96.66328	27.65952	Eurasia	
jku	9.59527	10.48469	Africa	
sjm	118.74997	6.09061	Papua	
jkr	92.8	26.6	Eurasia	
jkm			Eurasia	
jko	142.18292	-5.92584	Papua	
sja	-77.356568	4.258768	South America	
sjg	22.63932	13.95921	Africa	
sjd	35.83479	68.21579	Eurasia	
hah	154.80129	-5.59031	Papua	
bnz	10.10905	6.81552	Africa	
bny	113.6342	3.867	Papua	
bnx	27.24376	-4.31464	Africa	
hal	107.45652	14.78621	Eurasia	
ham	142.55148	-5.03635	Papua	
han	30.70739	-2.52347	Africa	
hao	154.59388	-5.06832	Papua	
bns	78.95417	24.89823	Eurasia	
bnr	167.03365	-15.33532	Papua	
bnq	124.84556	1.44586	Papua	
hac	44.4956	36.83768	Eurasia	
had	134.03715	-1.13531	Papua	
hae	41.43953	8.67428	Africa	
haf	106.68927	20.8537	Eurasia	
hag	-1.57833	9.33929	Africa	
hax	-132.00834	53.26164	North America	
bnj	121.17652	12.89681	Papua	
haz	64.5104766667	33.3708	Eurasia	
bno	122.03419	12.51942	Papua	
bnn	121.02534	23.41164	Papua	
bnm	9.751075	2.08708	Africa	
bnl	43.12076	0.41988	Africa	
hap	139.16433	-4.36349	Papua	
haq	30.48943	-3.77873	Africa	
har	42.13324	9.30485	Africa	
has	-128.60159	53.96401	North America	
bng	9.40336	0.8897	Africa	
bnf	130.60114	-3.29547	Papua	
